,sip,sport,dip,dport,protocol,first_timestamp_ms,nfs_app_label,nfs_traffic_type_label,nfs_requested_server_name,hash,vpn,http_host,dns_query,dns_ans,fqdn,sni,reverse_ip,file_name
0,192.168.2.137,41957,192.168.2.1,53,17,1732898479048,DNS.UbuntuONE,Network,daisy.ubuntu.com,46d8794514aa3a94bcb76a087a854b4e,0,0,daisy.ubuntu.com,162.213.35.25,daisy.ubuntu.com,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
1,192.168.2.137,52394,192.168.2.1,53,17,1732898479048,DNS.UbuntuONE,Network,daisy.ubuntu.com,43dac76046901d05c7c5562f30dca7bf,0,0,daisy.ubuntu.com,0,daisy.ubuntu.com,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
2,192.168.2.15,57277,192.168.2.1,53,17,1732898490528,DNS,Network,api2.branch.io,5afa8c7f39c08831265f3452e35e1f4e,0,0,api2.branch.io,3.164.92.64,api2.branch.io,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
3,192.168.2.15,50194,192.168.2.1,53,17,1732898490528,DNS,Network,app.link,10673522213afca30e01ca3fe52989fe,0,0,app.link,13.33.165.128,app.link,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
4,192.168.2.15,57277,207.164.234.193,53,17,1732898492053,DNS,Network,mail.solananetworks.com,11b73f882abc210599604ae7f34de2c2,0,0,mail.solananetworks.com,0,mailc11.megamailservers.com,0,toroon63dnsvp1.srvr.bell.ca,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
5,192.168.2.15,57226,64.203.83.11,1194,17,1732898478405,OpenVPN,VPN,,6e0de12e3fd8cc6b3741870f557ad63e,OpenVPN,0,0,0,0,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
6,192.168.2.137,45562,192.168.2.1,53,17,1732898479065,DNS.UbuntuONE,Network,daisy.ubuntu.com,756a0652ed1777466c2c2856a47a0f55,0,0,daisy.ubuntu.com,0,daisy.ubuntu.com,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
7,192.168.2.137,58726,192.168.2.1,53,17,1732898490230,DNS.UbuntuONE,Network,connectivity-check.ubuntu.com,19dc4efc91fc976d486bad4e64f99b31,0,0,connectivity-check.ubuntu.com,91.189.91.98,ubuntu-content-cache-1.ps5.canonical.com,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
8,192.168.2.15,64617,192.168.2.1,53,17,1732898490533,DNS,Network,www.udemy.com,3844db86af6765563024372545a1e1dc,0,0,www.udemy.com,104.16.143.237,www.udemy.com,0,,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
9,192.168.2.137,48232,64.203.83.11,1194,17,1732898477388,OpenVPN,VPN,,96693ddce04e7ab1dcc0d4874f87beb0,OpenVPN,0,0,0,0,0,83.203.64.host11.flexnetworks.ca,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
10,192.168.2.137,52678,185.125.190.98,80,6,1732898490242,HTTP.UbuntuONE,Cloud,connectivity-check.ubuntu.com,3a8de62a43fa9cf9e2c421ee8e790fe9,0,connectivity-check.ubuntu.com,0,0,0,0,ubuntu-content-cache-3.ps5.canonical.com,openvpn_gitClone_vpnEstablished_29-11-2024.pcap
