,sip,sport,dip,dport,protocol,first_timestamp_ms,nfs_app_label,nfs_traffic_type_label,nfs_requested_server_name,hash,dns_query,dns_ans,fqdn,sni,reverse_ip,file_name
0,192.168.10.111,56090,192.229.211.108,80,6,1732116652408,HTTP.OCSP,Network,ocsp.digicert.com,e913f86164ef35cac397437985165d23,0,0,0,ocsp.digicert.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
1,192.168.10.111,46905,8.8.8.8,53,17,1732116652900,DNS,Network,cdn.cookielaw.org,cf35b6a739179043801232168c6447de,cdn.cookielaw.org,104.18.86.42,cdn.cookielaw.org,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
2,192.168.10.111,41702,45.57.91.1,443,6,1732116652910,TLS.NetFlix,Video,assets.nflxext.com,2bc2db9a15b77ab646a7c63d6995037f,0,0,0,assets.nflxext.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
3,192.168.10.111,55302,104.18.86.42,443,6,1732116652914,TLS,Web,cdn.cookielaw.org,fe9b03a7a5e55444abd3147d177e20ae,0,0,0,cdn.cookielaw.org,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
4,192.168.10.111,56102,192.229.211.108,80,6,1732116653069,HTTP.OCSP,Network,ocsp.digicert.com,6cb7c49822bb664dd78d888784bc726f,0,0,0,ocsp.digicert.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
5,192.168.10.111,46038,8.8.8.8,53,17,1732116655246,DNS.AmazonAWS,Network,pushy-prod-nlb3-bf7399fa1215a692.elb.us-east-2.amazonaws.com,5fcc59af231c561871c3268946577439,pushy-prod-nlb3-bf7399fa1215a692.elb.us-east-2.amazonaws.com,0,ip-2a03-5640-f502-80--9ed7-20d.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
6,192.168.10.111,40642,3.141.173.112,443,6,1732116655261,TLS.NetFlix,Video,push.prod.netflix.com,58b00fb61d72d0e625994d21f80e6f6b,0,0,0,push.prod.netflix.com,ec2-3-141-173-112.us-east-2.compute.amazonaws.com,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
7,192.168.10.111,43002,8.8.8.8,53,17,1732116656434,DNS.NetFlix,Network,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,480dddf1e8684b8e1549d196ebfdda12,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,0,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
8,192.168.10.111,53650,142.251.32.67,80,6,1732116656543,HTTP.OCSP,Cloud,o.pki.goog,15211f475af75fe640654a6278724ddf,0,0,0,o.pki.goog,yyz12s07-in-f3.1e100.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
9,192.168.10.111,34782,8.8.8.8,53,17,1732116656909,DNS.NetFlix,Network,occ-0-132-1239.1.nflxso.net,7d207fa67a1330c1a8aad79258f9fab4,occ-0-132-1239.1.nflxso.net,0,ipv6-c073-msp001-ix.1.oca.nflxvideo.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
10,192.168.10.111,46322,23.246.44.136,443,6,1732116656920,TLS.NetFlix,Video,occ-0-132-1239.1.nflxso.net,687772dba986be46a4f477d4ac54c987,0,0,0,occ-0-132-1239.1.nflxso.net,ipv4-c086-msp001-ix.1.oca.nflxvideo.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
11,192.168.10.111,46340,23.246.44.136,443,6,1732116657034,TLS.NetFlix,Video,occ-0-132-1239.1.nflxso.net,ed5eee7c54e1bc9a68509ba07244238f,0,0,0,occ-0-132-1239.1.nflxso.net,ipv4-c086-msp001-ix.1.oca.nflxvideo.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
12,192.168.10.111,34947,8.8.8.8,53,17,1732116657537,DNS.NetFlix,Network,logs.dradis.netflix.com,15b1824497cf2d09e4ffac284e8fe463,logs.dradis.netflix.com,0,ip-2a03-5640-f502-81--fe79-1099.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
13,192.168.10.111,38835,8.8.8.8,53,17,1732116657537,DNS.NetFlix,Network,logs.dradis.netflix.com,f5772d5e7881ac6b56c0c787d03c2f85,logs.dradis.netflix.com,13.59.96.40,ip-2a03-5640-f502-81--fe79-1099.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
14,192.168.10.111,52272,8.8.8.8,53,17,1732116657538,DNS.NetFlix,Network,logs.dradis.netflix.com,ad2edeaa0a523a779142f9d7769d704a,logs.dradis.netflix.com,2a03:5640:f502:80::d95:1099,ip-2a03-5640-f502-81--fe79-1099.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
15,192.168.10.111,38334,3.19.205.174,443,6,1732116657551,TLS.NetFlix,Video,logs.netflix.com,69f33b75009930389785b7dc30ce7180,0,0,0,logs.netflix.com,ec2-3-19-205-174.us-east-2.compute.amazonaws.com,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
16,192.168.10.111,38358,3.19.205.174,443,6,1732116657569,TLS.NetFlix,Video,logs.netflix.com,717fa83967dcd52c56f5d229d668c84a,0,0,0,logs.netflix.com,ec2-3-19-205-174.us-east-2.compute.amazonaws.com,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
17,192.168.10.111,37458,8.8.8.8,53,17,1732116657615,DNS.AmazonAWS,Network,apiproxy-device-prod-nlb-1-2dea7573db70d8ec.elb.us-east-2.amazonaws.com,5f0feda9035bd1b3bbf38c16993d5aa2,apiproxy-device-prod-nlb-1-2dea7573db70d8ec.elb.us-east-2.amazonaws.com,0,ip-2a03-5640-f502-80--fee4-1ce.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
18,192.168.10.111,58134,3.15.91.90,443,6,1732116657636,TLS.NetFlix,Video,web.prod.cloud.netflix.com,98283d470f081fd8501f3f0f9bb33cb3,0,0,0,web.prod.cloud.netflix.com,ec2-3-15-91-90.us-east-2.compute.amazonaws.com,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
19,192.168.10.111,60570,3.19.205.174,443,6,1732116662589,TLS.NetFlix,Video,logs.netflix.com,7a336589abaf5c022657f3ecec621a3d,0,0,0,logs.netflix.com,ec2-3-19-205-174.us-east-2.compute.amazonaws.com,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
20,192.168.10.111,54028,23.246.45.133,443,6,1732116710242,TLS.NetFlix,Video,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,bd539681936c3a83248c421e862fb780,0,0,0,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
21,192.168.10.111,56080,192.229.211.108,80,6,1732116652395,HTTP.OCSP,Network,ocsp.digicert.com,9b1730187e2a93b550197570a9b64240,0,0,0,ocsp.digicert.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
22,3.18.92.247,443,192.168.10.111,51748,6,1732116652403,TLS,Web,,8549164b44d3c6d9ee40aabc30924fb6,0,0,0,0,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
23,192.168.10.111,51809,8.8.8.8,53,17,1732116652898,DNS.NetFlix,Network,assets.nflxext.com,4b41d2460bbab9870b5af4cf50e1ac8b,assets.nflxext.com,0,assets.nflxext.com,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
24,192.168.10.111,54716,8.8.8.8,53,17,1732116652899,DNS.NetFlix,Network,assets.nflxext.com,36ed3ea40a70d20659839b6fe2eb968d,assets.nflxext.com,2a00:86c0:2090::1,assets.nflxext.com,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
25,192.168.10.111,41686,45.57.91.1,443,6,1732116652910,TLS.NetFlix,Video,assets.nflxext.com,a295bba94301cd41d54fe83de4c9a892,0,0,0,assets.nflxext.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
26,192.168.10.111,41716,45.57.91.1,443,6,1732116653589,TLS.NetFlix,Video,assets.nflxext.com,6e59352e9e119978222a824f7119eb44,0,0,0,assets.nflxext.com,,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
27,192.168.10.111,46505,8.8.8.8,53,17,1732116655247,DNS.AmazonAWS,Network,pushy-prod-nlb3-bf7399fa1215a692.elb.us-east-2.amazonaws.com,44d8df9db57ee79f2e10b39b6b2ec9b9,pushy-prod-nlb3-bf7399fa1215a692.elb.us-east-2.amazonaws.com,2a03:5640:f502:82::9ed7:20d,ip-2a03-5640-f502-82--9ed7-20d.node.netflix.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
28,192.168.10.111,46283,8.8.8.8,53,17,1732116656435,DNS.NetFlix,Network,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,2e5a786fd7fd72135d5693ac436f6fd4,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,0,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,0,dns.google,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
29,192.168.10.111,37680,23.246.45.133,443,6,1732116656448,TLS.NetFlix,Video,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,41292a7f448f15c2d6664b144c511edc,0,0,0,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,ipv4-c092-msp001-ix.1.oca.nflxvideo.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
30,192.168.10.111,53640,142.251.32.67,80,6,1732116656534,HTTP.OCSP,Cloud,o.pki.goog,a991c5c7fed866379801a33f146b2d84,0,0,0,o.pki.goog,yyz12s07-in-f3.1e100.net,videoStream_netflix_20241120_Solana2024a_1min_12.pcap
