,sip,sport,dip,dport,protocol,first_timestamp_ms,nfs_app_label,nfs_traffic_type_label,nfs_requested_server_name,hash,vpn,http_host,dns_query,dns_ans,fqdn,sni,reverse_ip,file_name
0,10.179.59.156,42944,64.71.255.254,53,17,1734380807493,DNS,Network,napps-1.com,11b7f913f74cea10d8db2b9a202e896d,0,0,napps-1.com,172.64.153.12,napps-1.com,0,dns.wp.net.rogers.com,vpn_nordvpn.pcap
1,10.179.59.156,37871,64.71.255.254,53,17,1734380807779,DNS.GoogleServices,Network,play-fe.googleapis.com,6791f6721d9648b35889eb357f3a5339,0,0,play-fe.googleapis.com,142.250.69.110,yyz12s06-in-x0e.1e100.net,0,dns.wp.net.rogers.com,vpn_nordvpn.pcap
2,10.179.59.156,45248,142.250.69.110,443,6,1734380808137,TLS.GoogleServices,Web,play-fe.googleapis.com,d5ac7ebb94a510d359c39553c87891ff,0,0,0,0,0,play-fe.googleapis.com,pnyula-ab-in-f14.1e100.net,vpn_nordvpn.pcap
3,10.179.59.156,40812,172.64.153.12,443,6,1734380808552,TLS,Web,napps-1.com,30dad6799382362868da9878ea20d230,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
4,10.179.59.156,40818,172.64.153.12,443,6,1734380808553,TLS,Web,napps-1.com,a9c9bdf1fab3e329789ea849b91be62e,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
5,10.179.59.156,46287,142.250.69.99,80,6,1734380815996,HTTP.Google,ConnCheck,connectivitycheck.gstatic.com,519ae525823092859a65f48ff0ee3cb9,0,connectivitycheck.gstatic.com,0,0,0,0,pnyula-ab-in-f3.1e100.net,vpn_nordvpn.pcap
6,10.179.59.156,47326,142.250.69.68,443,6,1734380816002,TLS.Google,Web,www.google.com,16749c8c16201fa37512a2e47a1d4ca8,0,0,0,0,0,www.google.com,tzyula-aa-in-f4.1e100.net,vpn_nordvpn.pcap
7,10.179.59.156,37742,108.177.104.188,443,6,1734380819292,TLS.GoogleServices,Web,alt4-mtalk.google.com,ade3c22a72a31f807e5fbcb126de50a3,0,0,0,0,0,alt4-mtalk.google.com,nb-in-f188.1e100.net,vpn_nordvpn.pcap
8,10.179.59.156,43296,142.250.69.46,443,17,1734380820778,Unknown,Unspecified,,2decd00b82b16ac467fbba5da8dd16ef,0,0,0,0,0,0,,vpn_nordvpn.pcap
9,10.179.59.156,46241,172.253.63.188,5228,6,1734380820793,TLS.GoogleServices,Web,mtalk.google.com,95f464b9d1a50779f9d04cc43bd3a03a,0,0,0,0,0,mtalk.google.com,bi-in-f188.1e100.net,vpn_nordvpn.pcap
